,step,system_mean_speed,system_total_stopped,system_total_waiting_time,system_mean_waiting_time
89,450.0,11.318437283745396,7,131.0,1.8985507246376812
90,455.0,11.711829855503769,7,166.0,2.4411764705882355
91,460.0,11.973866520247807,5,166.0,2.1842105263157894
92,465.0,11.927954248582461,5,191.0,2.581081081081081
93,470.0,11.15969135819854,7,221.0,3.3484848484848486
94,475.0,10.85226189753907,10,262.0,4.030769230769231
95,480.0,10.598472301158036,7,49.0,0.7777777777777778
96,485.0,11.514093255114311,7,81.0,1.08
97,490.0,10.553731448887115,8,99.0,1.434782608695652
98,495.0,10.103181313393325,13,154.0,2.3333333333333335
99,500.0,9.884793012586742,13,199.0,3.1587301587301586
100,505.0,10.743402040097996,13,264.0,3.7183098591549295
101,510.0,10.631510937730784,6,93.0,1.3285714285714285
102,515.0,10.647988377855087,9,125.0,1.8656716417910448
103,520.0,10.496407402134636,9,163.0,2.5076923076923077
104,525.0,10.273365498477839,13,225.0,3.4615384615384617
105,530.0,10.736171775537713,11,270.0,3.6486486486486487
106,535.0,10.691801644418291,12,327.0,4.541666666666667
107,540.0,10.140594706842666,14,391.0,5.666666666666667
108,545.0,10.216444869970466,4,68.0,1.0149253731343284
109,550.0,11.258382832216887,6,89.0,1.3484848484848484
110,555.0,11.578989031862992,7,122.0,1.605263157894737
111,560.0,11.019018836790227,7,144.0,1.894736842105263
112,565.0,10.789028715728804,10,188.0,2.5753424657534247
